,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Car_Age
1,2,Honda Jazz V,Chennai,2011,46000,First,13,1199,887,5.0,861,4.5,0,1,0,1,12
5,7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,1136,2755,1715,8.0,21,17.5,1,0,1,0,7
8,10,Maruti Ciaz Zeta,Kochi,2018,25692,First,2156,1462,10325,5.0,1065,9.95,0,1,0,1,5
13,15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,135,2477,17556,7.0,3201,15.0,1,0,0,1,9
18,20,BMW 3 Series 320d,Kochi,2014,32982,First,2269,1995,190,5.0,4787,18.55,1,0,1,0,9
26,28,Honda WRV i-VTEC VX,Kochi,2018,37430,First,175,1199,887,5.0,1057,9.9,0,1,0,1,5
32,34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,1609,1598,1035,5.0,1233,6.98,0,1,0,1,9
34,36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,243,1248,885,5.0,1112,8.63,1,0,0,1,5
42,44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,1462,1999,14992,5.0,2364,8.85,0,1,1,0,9
45,47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,1125,2694,1637,7.0,1864,10.95,0,1,0,1,11
58,60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,1368,2393,1478,8.0,1934,16.5,1,0,0,1,6
65,67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0,1950,194,5.0,4914,35.67,1,0,1,0,4
67,69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,221,1396,887,5.0,1181,10.5,1,0,0,1,5
71,73,Nissan Terrano XV D Pre,Kochi,2015,56066,First,1964,1461,1085,5.0,1665,6.92,1,0,0,1,8
77,81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,1757,1193,887,5.0,667,4.5,0,1,0,1,6
97,102,Datsun GO Plus T Petrol,Pune,2017,32851,First,1983,1198,67,7.0,645,3.95,0,1,0,1,6
101,106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,1771,1197,789,5.0,641,3.9,0,1,0,1,9
105,110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,1136,2755,1715,7.0,27,19.25,1,0,1,0,6
106,111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,151,1196,73,5.0,513,3.91,0,1,0,1,6
108,113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,2269,1995,190,5.0,5443,20.75,1,0,1,0,8
112,117,Nissan Micra XV CVT,Coimbatore,2016,39882,First,1915,1198,7594,5.0,951,6.55,0,1,1,0,7
114,119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,243,1248,885,5.0,996,7.5,1,0,0,1,7
116,122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,220,1582,1262,5.0,1444,10.95,1,0,0,1,5
126,133,Maruti Alto K10 VXI,Hyderabad,2014,88500,First,2407,998,671,5.0,453,2.6,0,1,0,1,9
127,134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,190,2996,36207,2.0,9504,54.0,0,1,1,0,6
128,135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,170,1591,1213,5.0,1349,11.5,0,1,1,0,4
140,148,Audi RS5 Coupe,Mumbai,2013,23000,First,1105,2894,444,4.0,128,37.0,0,1,1,0,10
141,149,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,2176,1995,190,5.0,6088,26.5,1,0,1,0,9
165,173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,189,1197,8186,5.0,739,6.5,0,1,0,1,4
174,182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,2248,1995,190,5.0,6947,33.5,1,0,1,0,9
179,187,Maruti Baleno Alpha,Kochi,2017,24773,First,214,1197,831,5.0,878,7.5,0,1,0,1,6
185,193,Maruti Ertiga ZDI,Mumbai,2016,33000,First,2547,1248,8850,7.0,1274,8.5,1,0,0,1,7
192,200,Mahindra NuvoSport N6,Chennai,2017,29000,Second,1745,1493,100,7.0,1052,6.5,1,0,0,1,6
193,201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,First,243,1248,885,5.0,1198,9.0,1,0,0,1,7
202,210,Honda Amaze S Diesel,Kolkata,2013,45000,First,274,1498,986,5.0,854,3.25,1,0,0,1,10
211,219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,First,1467,1798,17746,5.0,3358,26.0,0,1,1,0,6
215,223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,First,2103,1461,65,5.0,912,3.7,1,0,0,1,10
217,225,Maruti Wagon R VXI,Kolkata,2013,32000,First,225,998,6704,5.0,529,2.65,0,1,0,1,10
219,228,Mini Cooper Convertible S,Kochi,2017,26327,First,1682,1998,18908,4.0,4428,35.67,0,1,1,0,6
226,235,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,First,1136,2755,1715,7.0,2074,19.64,1,0,1,0,4
228,237,Honda City i-VTEC V,Kolkata,2011,32572,First,174,1497,1173,5.0,1174,3.87,0,1,0,1,12
246,256,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43000,First,1368,2393,1478,7.0,2552,18.65,1,0,0,1,6
251,261,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,First,220,1582,1262,5.0,1407,2.6,1,0,0,1,15
253,264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,First,1157,2987,25479,5.0,9513,61.29,1,0,1,0,6
266,277,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,First,2295,1248,74,5.0,834,3.75,1,0,0,1,6
279,290,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,First,2295,1248,74,5.0,834,5.25,1,0,0,1,5
282,293,Honda Jazz VX,Delhi,2015,62178,First,182,1199,887,5.0,885,4.85,0,1,0,1,8
287,298,Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,48000,First,1368,2393,1478,7.0,254,20.25,1,0,0,1,7
292,303,Honda City i-VTEC CVT ZX,Mumbai,2017,15000,First,180,1497,1173,5.0,1667,12.69,0,1,1,0,6
297,310,Mercedes-Benz GLE 250d,Hyderabad,2017,29000,First,179,2143,20115,5.0,7943,57.0,1,0,1,0,6
301,314,Honda Brio 1.2 VX MT,Kochi,2012,91931,First,185,1198,868,5.0,662,3.13,0,1,0,1,11
314,327,Audi Q7 45 TDI Quattro Technology,Coimbatore,2017,97430,First,1475,2967,245,7.0,104,62.67,1,0,1,0,6
329,343,Maruti Vitara Brezza LDi,Chennai,2016,45000,First,243,1248,885,5.0,912,7.15,1,0,0,1,7
334,348,BMW 3 Series Luxury Line,Kochi,2015,30717,Second,2176,1995,190,5.0,5867,25.99,1,0,1,0,8
337,351,Skoda Octavia RS,Jaipur,2005,100000,First,1445,1984,227,5.0,2837,2.05,0,1,1,0,18
338,352,Maruti Alto K10 VXI,Pune,2017,30000,First,2407,998,671,5.0,448,3.75,0,1,0,1,6
341,355,Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,21000,First,1933,1999,177,5.0,7264,52.0,1,0,1,0,6
343,357,Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,First,1467,1798,17746,5.0,3615,27.3,0,1,1,0,4
351,365,Mini Clubman Cooper S,Pune,2017,8350,First,138,1998,192,5.0,4459,35.0,0,1,0,1,6
358,372,Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,First,243,1248,885,5.0,12,9.49,1,0,0,1,6
366,380,Honda BRV i-VTEC V CVT,Kochi,2017,35676,First,160,1497,1173,7.0,1465,9.48,0,1,1,0,6
374,389,Jaguar XE Portfolio,Mumbai,2017,9000,First,135,1999,24674,5.0,5372,34.5,0,1,1,0,6
386,401,Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,12000,First,135,2477,17556,7.0,3391,28.0,1,0,1,0,5
398,413,BMW 3 Series Luxury Line,Mumbai,2015,41000,First,2176,1995,190,5.0,6088,25.5,1,0,1,0,8
399,414,Honda BR-V i-VTEC S MT,Pune,2017,9000,First,154,1497,1173,7.0,1251,8.5,0,1,0,1,6
402,417,Hyundai i20 Active SX Petrol,Jaipur,2017,40250,First,1719,1197,8186,5.0,974,6.9,0,1,0,1,6
403,418,Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,22397,First,115,2996,367,5.0,9538,70.99,0,1,1,0,5
408,423,Audi A6 35 TFSI Matrix,Mumbai,2016,47000,First,1526,1798,18774,5.0,6059,24.5,0,1,1,0,7
411,427,Mini Cooper Convertible S,Mumbai,2014,11900,First,1682,1998,18908,4.0,4428,28.5,0,1,1,0,9
424,442,Mahindra Bolero ZLX,Coimbatore,2016,82756,First,1596,2523,621,7.0,1128,7.7,1,0,0,1,7
427,446,Volkswagen Vento 1.6 Comfortline,Mumbai,2017,15000,Second,1609,1598,1035,5.0,1148,7.1,0,1,0,1,6
437,456,Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,First,251,1248,885,5.0,1126,8.92,1,0,0,1,5
438,457,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,First,1517,1968,181,5.0,4365,20.37,1,0,1,0,7
439,458,BMW 3 Series Luxury Line,Bangalore,2016,19235,First,2176,1995,190,5.0,6207,36.5,1,0,1,0,7
453,473,Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,First,126,1950,19134,5.0,8697,51.43,0,1,1,0,5
469,489,Mercedes-Benz GLS 350d 4MATIC,Pune,2017,129000,First,110,2987,258,7.0,1,56.0,1,0,1,0,6
498,518,Maruti Wagon R LXI,Ahmedabad,2012,30000,First,225,998,6704,5.0,474,3.3,0,1,0,1,11
499,519,Hyundai Creta 1.6 SX,Chennai,2016,69434,First,158,1591,1213,5.0,1484,8.0,0,1,0,1,7
524,544,Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,First,0,1950,18143,5.0,4949,38.99,0,1,1,0,4
529,549,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,First,2068,1995,190,5.0,4818,29.4,1,0,1,0,6
535,555,Maruti Ertiga ZDI,Pune,2013,105000,Second,2547,1248,8850,7.0,1234,6.75,1,0,0,1,10
538,558,Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,First,2113,1498,1084,5.0,1538,10.5,1,0,0,1,6
542,562,Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,First,1136,2755,1715,7.0,1921,17.0,1,0,1,0,7
548,568,Jeep Compass 2.0 Limited,Jaipur,2018,29000,First,171,1956,170,5.0,2295,19.0,1,0,0,1,5
553,573,Mahindra Bolero ZLX,Jaipur,2012,105000,Second,1596,2523,621,7.0,1115,6.0,1,0,0,1,11
557,578,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,First,2014,1498,88,5.0,1032,8.12,1,0,0,1,5
578,599,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,First,1136,2755,1715,7.0,2805,24.82,1,0,1,0,4
582,603,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,First,179,2143,170,5.0,5977,48.5,1,0,1,0,5
583,604,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,First,215,1498,1085,5.0,1586,9.45,1,0,1,0,7
594,615,Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,First,1368,2393,1478,8.0,1943,17.5,1,0,0,1,6
597,618,Maruti Vitara Brezza ZDi,Pune,2016,21558,First,243,1248,885,5.0,1065,8.9,1,0,0,1,7
610,632,Mini Cooper 5 DOOR D,Mumbai,2016,11000,First,207,1496,11398,5.0,4212,29.5,1,0,1,0,7
613,635,Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,First,141,2179,154,7.0,1695,11.25,1,0,0,1,6
614,636,Honda BR-V i-DTEC VX MT,Kochi,2017,32249,First,219,1498,986,7.0,1545,10.79,1,0,0,1,6
617,639,Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,First,2089,1197,8180,5.0,787,5.7,0,1,0,1,6
630,654,Maruti Alto K10 VXI,Bangalore,2011,64357,First,2407,998,671,5.0,47,2.75,0,1,0,1,12
633,657,Honda BRV i-VTEC V CVT,Mumbai,2017,18000,First,160,1497,1173,7.0,1502,9.25,0,1,1,0,6
644,668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,First,243,1248,885,5.0,1256,11.31,1,0,0,1,6
647,671,Nissan Sunny XV CVT,Kochi,2013,37199,First,175,1498,996,5.0,1133,5.43,0,1,1,0,10
673,697,Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,First,1368,2393,1478,7.0,2645,18.75,1,0,0,1,6
690,714,Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,First,220,1197,8180,5.0,1034,8.5,0,1,1,0,6
707,731,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,First,240,1186,7397,5.0,746,4.9,1,0,0,1,6
708,732,Honda City i-VTEC V,Delhi,2014,55818,Second,174,1497,1173,5.0,1185,5.7,0,1,0,1,9
716,741,Maruti Ertiga VDI,Ahmedabad,2017,63939,First,2547,1248,8850,7.0,1041,7.75,1,0,0,1,6
717,742,Maruti Celerio VXI AMT,Delhi,2014,35214,Second,231,998,6704,5.0,557,3.2,0,1,1,0,9
721,746,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Second,207,1496,11398,5.0,4248,23.5,1,0,1,0,9
724,750,Honda City i-VTEC CVT VX,Bangalore,2015,18955,First,180,1497,1173,5.0,1604,10.65,0,1,1,0,8
730,756,Honda Jazz VX,Kochi,2018,20024,First,182,1199,887,5.0,91,8.46,0,1,0,1,5
736,762,Ford Figo Titanium Diesel,Kolkata,2015,72035,First,255,1498,99,5.0,765,2.5,1,0,0,1,8
758,784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,First,158,1591,1213,5.0,1374,10.9,0,1,0,1,7
765,791,Maruti Wagon R VXI,Coimbatore,2015,72599,First,225,998,6704,5.0,572,4.32,0,1,0,1,8
770,796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,First,140,2179,155,7.0,2133,17.63,1,0,1,0,4
776,802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,First,179,2143,20115,5.0,7876,56.0,1,0,1,0,7
783,809,Honda Amaze VX Diesel,Hyderabad,2018,12000,First,274,1498,986,5.0,1034,8.5,1,0,0,1,5
787,813,Maruti Alto K10 LXI,Pune,2014,49000,First,2407,998,671,5.0,429,2.3,0,1,0,1,9
799,825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,First,2166,1498,10862,5.0,1004,6.45,1,0,0,1,6
811,838,Mahindra Xylo H4,Chennai,2016,215000,First,1402,2179,1183,7.0,1167,7.5,1,0,0,1,7
822,850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,First,1368,2393,1478,7.0,2552,18.6,1,0,0,1,6
841,869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,First,254,1186,7397,5.0,856,5.9,1,0,0,1,5
847,875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,First,1136,2755,1715,7.0,27,19.92,1,0,1,0,5
850,878,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,First,217,999,67,5.0,478,3.25,0,1,0,1,6
852,880,Maruti Celerio VXI Optional AMT,Pune,2017,7500,First,231,998,6704,5.0,614,5.0,0,1,1,0,6
856,884,Maruti Dzire VXI,Kolkata,2011,46687,First,220,1197,8180,5.0,73,2.7,0,1,0,1,12
868,897,Datsun redi-GO T Option,Bangalore,2016,20487,First,227,799,5364,5.0,437,2.66,0,1,0,1,7
883,912,Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,First,151,1196,73,7.0,498,3.61,0,1,0,1,11
889,919,Honda City i-VTEC CVT VX,Mumbai,2015,30000,First,180,1497,1173,5.0,1529,8.65,0,1,1,0,8
907,940,Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,First,163,1956,170,5.0,2426,20.0,1,0,0,1,6
908,941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,First,1568,1999,177,5.0,7512,59.72,1,0,1,0,5
909,942,Maruti Baleno Alpha Diesel,Kolkata,2016,29000,First,2739,1248,74,5.0,953,6.5,1,0,0,1,7
913,946,Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,First,135,2477,17556,7.0,346,12.49,1,0,0,1,10
919,952,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,First,1368,2393,1478,7.0,2645,18.39,1,0,0,1,5
921,954,Honda Jazz VX Diesel,Mumbai,2016,38000,First,273,1498,986,5.0,1115,6.21,1,0,0,1,7
929,962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,First,0,1950,194,5.0,5226,39.5,1,0,1,0,5
951,984,BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,First,2248,1995,190,5.0,7043,17.5,1,0,1,0,11
967,1001,Renault KWID RXT Optional,Hyderabad,2018,1900,First,2517,799,533,5.0,48,4.45,0,1,0,1,5
976,1010,Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,First,230,1498,9896,5.0,1212,11.65,1,0,0,1,4
978,1012,Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,First,1368,2393,1478,7.0,1937,16.5,1,0,0,1,6
983,1017,Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,First,2064,1498,1085,5.0,1214,5.39,1,0,0,1,9
996,1030,Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,First,1424,2755,1745,7.0,3669,13.28,1,0,0,1,10
1005,1039,Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,First,160,1368,160,5.0,2368,17.75,0,1,1,0,6
1010,1044,Audi A4 35 TDI Technology,Hyderabad,2015,45000,First,1825,1968,18774,5.0,5561,25.0,1,0,1,0,8
1016,1050,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,First,148,1497,12136,5.0,141,12.41,0,1,1,0,5
1022,1056,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,First,251,1248,885,5.0,1326,7.94,1,0,0,1,7
1031,1065,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,First,1136,2755,1715,7.0,2805,20.5,1,0,1,0,7
1037,1072,Maruti Ertiga VDI,Pune,2016,130000,First,2547,1248,8850,7.0,1127,7.0,1,0,0,1,7
1042,1077,Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,First,243,1248,885,5.0,112,10.49,1,0,0,1,4
1045,1080,Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,First,1757,1193,887,5.0,856,3.95,0,1,0,1,9
1059,1094,Maruti Vitara Brezza VDi,Kolkata,2017,35000,First,243,1248,885,5.0,946,6.5,1,0,0,1,6
1061,1096,Mahindra XUV300 W8 Diesel,Chennai,2012,97000,First,200,1497,115,5.0,1279,7.25,1,0,0,1,11
1062,1097,Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,First,220,1582,1262,5.0,1557,6.01,1,0,0,1,9
1068,1103,Tata Hexa XT,Delhi,2017,55000,First,176,2179,15386,7.0,1986,12.0,1,0,0,1,6
1075,1110,Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,First,2384,1199,84,5.0,659,5.88,0,1,0,1,5
1078,1113,Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,First,126,1950,19134,5.0,8697,51.35,0,1,1,0,5
1082,1117,Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,First,207,1496,11398,5.0,4212,22.0,1,0,1,0,9
1103,1139,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,First,189,1197,8186,5.0,654,5.0,0,1,0,1,6
1104,1140,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,First,1136,2755,1715,7.0,2656,19.75,1,0,1,0,7
1105,1141,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,First,196,1461,10845,5.0,1505,11.44,1,0,1,0,6
1109,1146,Mahindra Bolero ZLX,Mumbai,2016,40448,First,1596,2523,621,7.0,1101,3.5,1,0,0,1,7
1110,1147,Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,First,243,1248,885,5.0,11,10.46,1,0,0,1,5
1112,1149,Honda Amaze S Petrol,Kochi,2016,51672,First,195,1199,8876,5.0,755,5.68,0,1,0,1,7
1119,1157,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,First,189,1197,8186,5.0,782,5.98,0,1,0,1,6
1121,1159,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,First,189,1197,8186,5.0,632,4.77,0,1,0,1,5
1149,1187,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,First,170,1591,1213,5.0,1514,7.2,0,1,1,0,8
