,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Car_Age
3462,3572,Audi A6 35 TDI Matrix,Coimbatore,2017,36824,First,1853,1968,18774,5.0,6937,39.84,1,0,1,0,6
3468,3578,Maruti Baleno Zeta CVT,Kolkata,2016,20000,First,214,1197,831,5.0,904,5.74,0,1,1,0,7
3471,3581,BMW 3 Series Luxury Line,Ahmedabad,2016,27000,First,2176,1995,190,5.0,5507,35.0,1,0,1,0,7
3472,3582,Maruti Dzire AMT ZDI Plus,Chennai,2017,19000,First,284,1248,7375,5.0,1097,8.9,1,0,1,0,6
3474,3584,Jeep Compass 2.0 Longitude,Kochi,2018,42203,First,171,1956,170,5.0,2172,19.46,1,0,0,1,5
3476,3587,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Kolkata,2018,4900,First,215,1497,1085,5.0,1147,9.22,1,0,0,1,5
3490,3603,Renault KWID RXT Optional,Pune,2018,5000,First,2517,799,533,5.0,49,3.5,0,1,0,1,5
3525,3640,Toyota Fortuner 2.8 4WD MT,Kochi,2011,169006,First,1424,2755,1745,7.0,3669,10.64,1,0,0,1,12
3532,3648,Honda Jazz V CVT,Mumbai,2017,17978,First,190,1199,887,5.0,101,6.95,0,1,1,0,6
3535,3651,Maruti S-Cross Alpha DDiS 200 SH,Kolkata,2016,45296,First,251,1248,885,5.0,1253,6.99,1,0,0,1,7
3546,3662,Tata Hexa XT,Pune,2017,39800,First,176,2179,15386,7.0,2087,14.25,1,0,0,1,6
3557,3674,Maruti Eeco 7 Seater Standard,Coimbatore,2016,42225,First,151,1196,73,7.0,498,4.3,0,1,0,1,7
3565,3682,Maruti Ignis 1.2 Delta,Kochi,2019,12076,First,2089,1197,8180,5.0,59,5.5,0,1,0,1,4
3570,3687,Volkswagen Polo GT TSI,Coimbatore,2017,50534,First,1721,1197,1035,5.0,1166,8.27,0,1,1,0,6
3580,3697,BMW 5 Series 520d Luxury Line,Ahmedabad,2010,46000,First,2248,1995,190,5.0,6371,16.5,1,0,1,0,13
3588,3705,Mercedes-Benz GLC 220d 4MATIC Style,Coimbatore,2019,29311,First,179,2143,170,5.0,6457,50.97,1,0,1,0,4
3589,3706,BMW 3 Series Luxury Line,Mumbai,2016,31000,First,2176,1995,190,5.0,6088,29.95,1,0,1,0,7
3602,3719,Ford EcoSport 1.5 Petrol Titanium Plus AT,Pune,2017,14000,First,148,1497,12136,5.0,1323,9.99,0,1,1,0,6
3608,3726,Maruti Vitara Brezza ZDi Plus Dual Tone,Ahmedabad,2017,33000,First,243,1248,885,5.0,1106,9.25,1,0,0,1,6
3613,3731,Nissan Terrano XV D Pre,Mumbai,2013,60000,Second,1964,1461,1085,5.0,1721,5.45,1,0,0,1,10
3614,3732,Maruti Celerio ZXI AMT,Coimbatore,2017,35225,First,231,998,6704,5.0,656,5.25,0,1,1,0,6
3616,3735,BMW 3 Series 320d,Hyderabad,2010,80000,First,2269,1995,190,5.0,472,14.2,1,0,1,0,13
3619,3738,Hyundai Grand i10 1.2 Kappa Sportz,Coimbatore,2016,29091,First,189,1197,8186,5.0,682,4.87,0,1,0,1,7
3626,3745,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,26927,First,243,1248,885,5.0,1256,11.39,1,0,0,1,6
3628,3747,Maruti Vitara Brezza ZDi,Delhi,2016,35299,First,243,1248,885,5.0,1014,8.0,1,0,0,1,7
3633,3752,Land Rover Range Rover Sport HSE,Kochi,2015,38467,First,1265,2993,255,5.0,16,70.66,1,0,1,0,8
3640,3759,Maruti Alto K10 VXI,Mumbai,2017,12000,First,2407,998,671,5.0,482,3.25,0,1,0,1,6
3655,3774,Maruti Ciaz Zeta,Kochi,2018,10575,First,2156,1462,10325,5.0,1111,9.18,0,1,0,1,5
3658,3777,Maruti Wagon R VXI 1.2,Kochi,2015,49818,First,215,1197,8180,5.0,544,4.11,0,1,0,1,8
3665,3784,Toyota Innova Crysta 2.8 ZX AT,Kochi,2017,26023,First,1136,2755,1715,7.0,2655,19.97,1,0,1,0,6
3667,3786,Maruti Swift VDI,Pune,2014,115000,First,284,1248,74,5.0,826,4.5,1,0,0,1,9
3674,3793,Tata Zest Quadrajet 1.3 XT,Bangalore,2017,27768,First,2065,1248,887,5.0,1006,5.85,1,0,0,1,6
3700,3820,Maruti Alto K10 VXI,Chennai,2011,28300,First,2407,998,671,5.0,45,2.15,0,1,0,1,12
3716,3836,Audi A6 35 TFSI Matrix,Delhi,2018,22000,First,1526,1798,18774,5.0,5697,41.5,0,1,1,0,5
3718,3838,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2018,28741,First,243,1248,885,5.0,1256,11.0,1,0,0,1,5
3721,3841,Hyundai Verna VTVT 1.6 SX,Kolkata,2018,5000,First,170,1591,1213,5.0,1119,8.7,0,1,0,1,5
3722,3842,Maruti Ertiga ZDI Plus,Hyderabad,2016,42000,First,2547,1248,8850,7.0,1333,9.9,1,0,0,1,7
3725,3845,Hyundai Verna VTVT 1.6 SX,Kochi,2012,32542,First,170,1591,1213,5.0,1167,5.77,0,1,0,1,11
3732,3852,BMW 3 Series 320d,Kochi,2012,55598,First,2269,1995,190,5.0,4787,11.5,1,0,1,0,11
3767,3889,Maruti Dzire VDI,Jaipur,2013,77084,First,284,1248,7375,5.0,875,4.95,1,0,0,1,10
3783,3907,Toyota Innova Crysta 2.8 GX AT 8S,Chennai,2016,40000,First,1136,2755,1715,8.0,211,16.45,1,0,1,0,7
3786,3910,Maruti Baleno Alpha Diesel,Mumbai,2018,2000,First,2739,1248,74,5.0,1028,8.7,1,0,0,1,5
3787,3911,Skoda Superb Style 1.8 TSI AT,Mumbai,2016,14500,First,1467,1798,17746,5.0,3336,20.75,0,1,1,0,7
3803,3927,Maruti Ciaz Alpha,Mumbai,2017,19416,First,2156,1462,10325,5.0,1156,8.25,0,1,0,1,6
3810,3935,Toyota Innova Crysta 2.8 ZX AT,Pune,2016,50296,Second,1136,2755,1715,7.0,2707,19.0,1,0,1,0,7
3818,3943,Jeep Compass 2.0 Longitude,Kochi,2018,26101,First,171,1956,170,5.0,2138,17.55,1,0,0,1,5
3819,3944,Maruti Alto K10 LXI Optional,Pune,2016,7000,First,2407,998,671,5.0,436,3.0,0,1,0,1,7
3828,3953,Honda Jazz Exclusive CVT,Mumbai,2018,3000,First,190,1199,887,5.0,1081,8.25,0,1,1,0,5
3839,3964,Nissan Sunny XE P,Coimbatore,2012,50297,First,1695,1498,976,5.0,855,4.69,0,1,0,1,11
3896,4022,Toyota Corolla Altis 1.8 GL,Chennai,2009,32000,Second,1428,1798,13803,5.0,2266,4.95,0,1,0,1,14
3900,4026,Maruti Alto K10 VXI,Jaipur,2016,51264,First,2407,998,671,5.0,424,3.2,0,1,0,1,7
3902,4028,Mercedes-Benz CLA 200 CGI Sport,Delhi,2016,40000,First,1504,1991,183,5.0,4102,24.5,0,1,1,0,7
3908,4034,Hyundai Creta 1.6 SX Automatic Diesel,Kolkata,2018,14000,First,176,1582,1262,5.0,17,11.25,1,0,1,0,5
3935,4061,Audi RS5 Coupe,Mumbai,2013,23312,First,1105,2894,444,4.0,128,40.5,0,1,1,0,10
3943,4069,BMW 5 Series 520d Luxury Line,Coimbatore,2014,60280,First,2248,1995,190,5.0,6371,22.45,1,0,1,0,9
3952,4079,Land Rover Range Rover 3.0 Diesel LWB Vogue,Hyderabad,2017,25000,First,1333,2993,255,5.0,23,160.0,1,0,1,0,6
3955,4083,Maruti Baleno RS Petrol,Coimbatore,2018,26731,First,211,998,100,5.0,1089,8.61,0,1,0,1,5
3968,4096,Toyota Camry Hybrid 2.5,Coimbatore,2017,23249,First,1916,2487,17567,5.0,4062,26.11,0,1,1,0,6
3970,4099,Hyundai Grand i10 1.2 Kappa Asta,Delhi,2018,10000,First,189,1197,8186,5.0,754,6.5,0,1,0,1,5
3975,4104,Skoda Superb Style 1.8 TSI AT,Coimbatore,2016,54253,First,1467,1798,17746,5.0,3019,16.81,0,1,1,0,7
3990,4119,Maruti Wagon R VXI,Pune,2014,38958,First,225,998,6704,5.0,556,3.41,0,1,0,1,9
3996,4125,Datsun redi-GO S,Chennai,2016,26239,First,227,799,53,5.0,443,2.75,0,1,0,1,7
4002,4131,Toyota Fortuner 2.8 2WD MT,Coimbatore,2019,56251,First,1424,2755,1745,7.0,3717,35.82,1,0,0,1,4
4005,4134,Honda BR-V i-VTEC S MT,Bangalore,2016,34004,First,154,1497,1173,7.0,129,8.02,0,1,0,1,7
4017,4147,Maruti Dzire VDI,Kochi,2017,54758,First,284,1248,7375,5.0,858,6.67,1,0,0,1,6
4033,4163,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2017,53841,First,1136,2755,1715,7.0,2805,20.5,1,0,1,0,6
4034,4164,Hyundai Creta 1.6 SX Option,Kochi,2017,47183,Second,158,1591,1213,5.0,1586,11.31,0,1,0,1,6
4039,4169,Datsun redi-GO T Option,Kochi,2018,6279,First,227,799,5364,5.0,405,3.6,0,1,0,1,5
4050,4180,Hyundai Creta 1.6 SX Option Diesel,Coimbatore,2017,101065,First,205,1582,1262,5.0,1918,11.45,1,0,0,1,6
4051,4181,Maruti Baleno Delta,Kochi,2017,15134,First,214,1197,831,5.0,736,6.37,0,1,0,1,6
4058,4188,Maruti Ertiga VDI,Chennai,2016,86000,Second,2547,1248,8850,7.0,1099,8.2,1,0,0,1,7
4075,4205,Honda City i-DTEC SV,Kolkata,2015,39000,First,256,1498,986,5.0,1223,5.49,1,0,0,1,8
4078,4208,Volkswagen Vento 1.6 Highline,Jaipur,2016,33000,First,1609,1598,1035,5.0,1163,7.7,0,1,0,1,7
4090,4220,Hyundai Verna VTVT 1.6 SX,Bangalore,2014,46676,First,170,1591,1213,5.0,1227,7.75,0,1,0,1,9
4091,4221,Maruti Alto K10 LXI,Kochi,2014,51349,First,2407,998,671,5.0,391,2.93,0,1,0,1,9
4103,4233,Audi Q3 30 TDI Premium FWD,Coimbatore,2018,22060,First,1851,1968,14751,5.0,448,32.73,1,0,1,0,5
4106,4236,Audi A4 35 TDI Premium Plus,Kochi,2015,13506,First,1825,1968,18774,5.0,504,21.66,1,0,1,0,8
4107,4237,Renault KWID RXT Optional,Mumbai,2016,16000,First,2517,799,533,5.0,478,2.99,0,1,0,1,7
4123,4253,Honda Amaze S Petrol,Kolkata,2013,32576,First,195,1199,8876,5.0,736,3.15,0,1,0,1,10
4135,4265,Datsun redi-GO T Option,Coimbatore,2017,27509,First,227,799,5364,5.0,404,3.31,0,1,0,1,6
4143,4273,Skoda Superb Style 1.8 TSI AT,Mumbai,2016,53000,First,1467,1798,17746,5.0,3336,17.85,0,1,1,0,7
4154,4284,Toyota Innova Crysta 2.8 ZX AT,Delhi,2016,42000,First,1136,2755,1715,7.0,2655,19.6,1,0,1,0,7
4170,4300,Maruti Wagon R VXI AMT,Mumbai,2018,1997,First,225,998,67,5.0,614,4.45,0,1,1,0,5
4171,4301,Maruti Vitara Brezza ZDi Plus Dual Tone,Pune,2016,47300,First,243,1248,885,5.0,1196,8.85,1,0,0,1,7
4178,4308,Maruti Ertiga VDI,Coimbatore,2014,53817,First,2547,1248,8850,7.0,1144,7.56,1,0,0,1,9
4188,4318,Toyota Innova Crysta 2.8 ZX AT,Ahmedabad,2016,42388,First,1136,2755,1715,7.0,2463,18.0,1,0,1,0,7
4197,4327,BMW X1 xDrive 20d M Sport,Kolkata,2017,27001,First,2068,1995,190,5.0,5026,29.0,1,0,1,0,6
4204,4334,Hyundai Grand i10 1.2 Kappa Sportz,Coimbatore,2017,38712,First,189,1197,8186,5.0,745,5.87,0,1,0,1,6
4216,4346,Maruti Swift ZXI Plus,Ahmedabad,2018,2000,First,220,1197,8180,5.0,816,7.75,0,1,0,1,5
4220,4350,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,31271,First,1368,2393,1478,8.0,2401,21.42,1,0,0,1,4
4229,4361,Skoda Rapid 1.5 TDI Ambition,Mumbai,2012,54500,First,2113,1498,1084,5.0,1372,4.1,1,0,0,1,11
4241,4373,Toyota Innova Crysta 2.4 ZX MT,Ahmedabad,2016,54000,First,1368,2393,1478,7.0,2314,16.5,1,0,0,1,7
4269,4401,Tata Tiago 1.2 Revotron XZ WO Alloy,Hyderabad,2017,16500,First,2384,1199,84,5.0,629,5.0,0,1,0,1,6
4271,4403,Honda Amaze V Petrol,Jaipur,2018,6000,First,195,1199,8676,5.0,818,6.7,0,1,0,1,5
4276,4408,Maruti Wagon R LXI,Mumbai,2010,12000,First,225,998,6704,5.0,504,2.45,0,1,0,1,13
4311,4444,Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2018,4500,First,189,1197,8186,5.0,64,4.8,0,1,0,1,5
4314,4447,Hyundai Grand i10 1.2 Kappa Asta,Kochi,2017,51223,First,189,1197,8186,5.0,748,5.66,0,1,0,1,6
4318,4451,Ford Mustang V8,Kochi,2018,21290,First,130,4951,395,4.0,8392,56.8,0,1,1,0,5
4319,4452,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14076,First,1136,2755,1715,7.0,2074,19.4,1,0,1,0,4
4330,4463,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,22500,First,189,1197,8186,5.0,782,5.99,0,1,0,1,6
4337,4470,Honda Amaze S Diesel,Kolkata,2013,46500,First,274,1498,986,5.0,854,3.3,1,0,0,1,10
4339,4472,Maruti Wagon R VXI,Jaipur,2017,39867,First,225,998,6704,5.0,544,4.5,0,1,0,1,6
4348,4481,Skoda Superb Style 2.0 TDI AT,Mumbai,2015,19000,First,1819,1968,1745,5.0,3694,15.5,1,0,1,0,8
4352,4485,Volkswagen Vento 1.5 TDI Comfortline,Kolkata,2012,34000,First,2064,1498,1085,5.0,1116,3.4,1,0,0,1,11
4354,4487,Hyundai Verna VTVT 1.6 SX Option,Kochi,2016,52378,First,170,1591,1213,5.0,136,7.97,0,1,0,1,7
4362,4495,Maruti Dzire AMT ZDI Plus,Kochi,2018,64035,First,284,1248,7375,5.0,107,8.55,1,0,1,0,5
4383,4516,Maruti Eeco 7 Seater Standard,Chennai,2016,55000,First,151,1196,73,7.0,487,3.75,0,1,0,1,7
4390,4523,Mitsubishi Pajero Sport 4X4,Coimbatore,2015,53497,First,135,2477,17556,7.0,346,16.42,1,0,0,1,8
4394,4527,Mercedes-Benz GLE 350d,Chennai,2016,29000,First,1157,2987,25479,5.0,9279,65.0,1,0,1,0,7
4399,4532,Maruti Wagon R VXI AMT,Kolkata,2017,17000,First,225,998,67,5.0,58,3.95,0,1,1,0,6
4408,4541,BMW 3 Series 320d,Mumbai,2011,51000,First,2269,1995,190,5.0,4787,10.5,1,0,1,0,12
4418,4551,BMW 5 Series 520d Luxury Line,Coimbatore,2011,51602,First,2248,1995,190,5.0,6371,17.27,1,0,1,0,12
4421,4554,BMW 3 Series Luxury Line,Pune,2016,70000,Second,2176,1995,190,5.0,6211,27.0,1,0,1,0,7
4427,4560,Honda Jazz V,Kochi,2017,36973,First,182,1199,887,5.0,871,6.8,0,1,0,1,6
4430,4563,Maruti Wagon R VXI,Mumbai,2014,43628,First,225,998,6704,5.0,561,3.16,0,1,0,1,9
4437,4570,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3300,First,243,1248,885,5.0,1288,11.5,1,0,1,0,5
4438,4571,Maruti Alto K10 LXI,Delhi,2016,35027,First,2407,998,671,5.0,391,3.0,0,1,0,1,7
4457,4590,Maruti Vitara Brezza ZDi,Bangalore,2017,45000,First,243,1248,885,5.0,11,9.75,1,0,0,1,6
4468,4601,BMW X1 sDrive 20d xLine,Coimbatore,2019,15456,First,2068,1995,190,5.0,4818,36.64,1,0,1,0,4
4478,4612,Hyundai Grand i10 1.2 CRDi Asta,Kochi,2015,81828,First,240,1186,7397,5.0,868,5.43,1,0,0,1,8
4498,4633,Renault KWID 1.0 RXT Optional,Jaipur,2016,26000,First,217,999,67,5.0,478,3.0,0,1,0,1,7
4514,4649,Honda WRV i-VTEC VX,Hyderabad,2017,15000,First,175,1199,887,5.0,1083,8.9,0,1,0,1,6
4517,4652,Volkswagen Vento 1.6 Comfortline,Kochi,2012,60818,First,1609,1598,1035,5.0,1105,3.59,0,1,0,1,11
4545,4680,Maruti Ertiga VDI,Pune,2016,54161,First,2547,1248,8850,7.0,1127,7.64,1,0,0,1,7
4550,4685,Volkswagen Vento 1.6 Comfortline,Kochi,2018,20488,Second,1609,1598,1035,5.0,1148,7.64,0,1,0,1,5
4554,4689,Toyota Fortuner 2.8 2WD MT,Coimbatore,2017,72668,First,1424,2755,1745,7.0,3717,28.85,1,0,0,1,6
4560,4695,Toyota Etios Cross 1.4L VD,Bangalore,2014,57464,First,2359,1364,6706,5.0,999,5.75,1,0,0,1,9
4571,4706,Toyota Innova Crysta 2.8 ZX AT,Chennai,2016,80000,First,1136,2755,1715,7.0,2695,19.5,1,0,1,0,7
4587,4724,Hyundai Xcent 1.2 VTVT E,Pune,2018,40000,First,2014,1197,8186,5.0,671,5.0,0,1,0,1,5
4591,4728,Hyundai Verna VTVT 1.6 SX Option,Kochi,2019,12336,First,170,1591,1213,5.0,136,11.88,0,1,0,1,4
4594,4731,Nissan Micra Active XV,Pune,2018,24000,First,1969,1198,6704,5.0,699,4.0,0,1,0,1,5
4597,4734,Volkswagen Vento 1.5 TDI Highline,Chennai,2011,121311,First,2064,1498,1085,5.0,1432,2.9,1,0,0,1,12
4610,4748,Tata Tiago 1.2 Revotron XT Option,Coimbatore,2019,16698,First,2384,1199,84,5.0,621,5.85,0,1,0,1,4
4617,4755,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Hyderabad,2016,52000,First,1568,1999,177,5.0,7449,42.0,1,0,1,0,7
4634,4773,Hyundai Elite i20 Sportz Plus,Kochi,2017,37460,First,186,1197,8186,5.0,803,6.28,0,1,0,1,6
4639,4778,Mercedes-Benz S-Class S 350 d,Bangalore,2011,47140,Second,135,2925,28161,5.0,171,30.0,1,0,1,0,12
4641,4780,Hyundai Creta 1.6 SX Option Diesel,Bangalore,2016,93000,First,205,1582,1262,5.0,1918,10.8,1,0,0,1,7
4649,4788,Volvo V40 D3 R Design,Hyderabad,2015,38000,Second,168,1969,150,5.0,379,24.0,1,0,1,0,8
4656,4795,BMW 3 Series Luxury Line,Kochi,2018,21936,First,2176,1995,190,5.0,5867,37.92,1,0,1,0,5
4668,4807,Skoda Superb Style 1.8 TSI AT,Delhi,2013,80000,Second,1467,1798,17746,5.0,3254,7.25,0,1,1,0,10
4672,4811,Mahindra Thar CRDe,Coimbatore,2017,28599,First,1655,2498,105,6.0,1171,9.66,1,0,0,1,6
4680,4819,Datsun redi-GO T,Kolkata,2016,15000,First,227,799,5364,5.0,398,2.25,0,1,0,1,7
4687,4826,Maruti Alto K10 VXI,Kochi,2015,23876,First,2407,998,671,5.0,409,3.46,0,1,0,1,8
4701,4841,BMW 3 Series 320d,Hyderabad,2011,89000,First,2269,1995,190,5.0,472,13.95,1,0,1,0,12
4704,4844,Maruti Wagon R VXI 1.2,Kolkata,2014,37000,First,215,1197,8180,5.0,556,2.8,0,1,0,1,9
4718,4858,Audi A4 35 TDI Technology,Hyderabad,2017,14000,First,1825,1968,18774,5.0,5561,43.0,1,0,1,0,6
4723,4863,Hyundai Santro D Lite,Chennai,2001,140000,Third,203,1086,68,5.0,455,0.7,0,1,0,1,22
4733,4873,Maruti Baleno Alpha,Chennai,2016,16000,First,214,1197,831,5.0,88,6.95,0,1,0,1,7
4737,4877,Tata Nexon 1.2 Revotron XZ Plus,Coimbatore,2018,17477,First,170,1198,1085,5.0,1113,9.62,0,1,0,1,5
4740,4880,Maruti Wagon R LXI,Kochi,2014,52431,First,225,998,6704,5.0,459,3.01,0,1,0,1,9
4746,4887,Maruti Vitara Brezza ZDi Plus,Kochi,2018,57078,First,243,1248,885,5.0,1158,10.19,1,0,0,1,5
4753,4894,Maruti Baleno Alpha Diesel,Hyderabad,2017,24000,First,2739,1248,74,5.0,1063,8.4,1,0,0,1,6
4760,4902,Maruti Baleno Alpha CVT,Mumbai,2018,3000,First,214,1197,831,5.0,103,8.85,0,1,1,0,5
4765,4907,Honda City i-VTEC VX,Ahmedabad,2017,29000,First,174,1497,1173,5.0,1268,10.0,0,1,0,1,6
4772,4914,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2017,24000,First,179,2143,170,5.0,5977,46.95,1,0,1,0,6
4783,4926,Hyundai Creta 1.6 SX Option Executive,Coimbatore,2018,44383,First,158,1591,1213,5.0,177,13.25,0,1,0,1,5
4786,4929,Hyundai Creta 1.6 SX,Delhi,2016,69000,First,158,1591,1213,5.0,1423,9.7,0,1,0,1,7
4791,4934,Maruti Dzire AMT VDI,Coimbatore,2018,25082,First,284,1248,7375,5.0,962,8.37,1,0,1,0,5
4799,4942,Audi A4 35 TDI Premium Plus,Coimbatore,2014,28469,First,1825,1968,18774,5.0,5314,24.37,1,0,1,0,9
4807,4950,Ford Aspire Titanium Diesel,Kolkata,2017,60048,First,261,1498,99,5.0,891,6.0,1,0,0,1,6
4817,4961,Maruti Dzire AMT ZXI Plus,Coimbatore,2019,8018,First,220,1197,8180,5.0,1026,8.3,0,1,1,0,4
4824,4968,Tata Tiago AMT 1.2 Revotron XZA,Pune,2018,2000,First,2384,1199,8383,5.0,694,5.0,0,1,1,0,5
4829,4973,Hyundai Verna CRDi 1.6 SX Option,Hyderabad,2008,109606,First,220,1582,1262,5.0,1559,2.9,1,0,0,1,15
